"Date","Price","Volume","Market_cap"
"2024-09-13 00:00:00 UTC+0","0.10712972","401242988.674021","15635101654.90221200"
"2024-09-12 00:00:00 UTC+0","0.10270081","247114383.745824","14987321318.29769300"
"2024-09-11 00:00:00 UTC+0","0.10137539","298185333.922445","14792517522.61827500"
"2024-09-10 00:00:00 UTC+0","0.10273325","271429990.476652","14989246471.35747000"
"2024-09-09 00:00:00 UTC+0","0.10375242","424833880.746991","15136532381.80251300"
"2024-09-08 00:00:00 UTC+0","0.09611996","222140079.535576","14021711242.64450500"
"2024-09-07 00:00:00 UTC+0","0.09536704","248414140.955505","13910572450.35180900"
"2024-09-06 00:00:00 UTC+0","0.09258148","489475065.168609","13503017950.51682000"
"2024-09-05 00:00:00 UTC+0","0.09835549","282413201.909519","14343806994.51421500"
"2024-09-04 00:00:00 UTC+0","0.09811999","372007927.479883","14308128124.91607300"
"2024-09-03 00:00:00 UTC+0","0.09663465","234827365.054270","14090214794.10464300"
"2024-09-02 00:00:00 UTC+0","0.09912591","282719971.324623","14452109190.59846700"
"2024-09-01 00:00:00 UTC+0","0.09536250","240489584.474191","13902112512.16261700"
"2024-08-31 00:00:00 UTC+0","0.10128812","193354602.427880","14764564850.12309300"
"2024-08-30 00:00:00 UTC+0","0.10210043","358745971.722454","14881599101.47227900"
"2024-08-29 00:00:00 UTC+0","0.10037614","277230186.716303","14628910084.96648200"
"2024-08-28 00:00:00 UTC+0","0.09960268","406217835.479411","14514825145.24771100"
"2024-08-27 00:00:00 UTC+0","0.09911690","369987101.930216","14442670291.70352400"
"2024-08-26 00:00:00 UTC+0","0.10530959","344325340.003360","15343596112.24635700"
"2024-08-25 00:00:00 UTC+0","0.10980839","368892387.338944","15997527587.58408500"
"2024-08-24 00:00:00 UTC+0","0.11267665","452609514.745744","16413631256.22626000"
"2024-08-23 00:00:00 UTC+0","0.11308707","580348093.879863","16471802308.11167100"
"2024-08-22 00:00:00 UTC+0","0.10533843","237404158.697860","15341998439.78566000"
"2024-08-21 00:00:00 UTC+0","0.10613336","306838182.725086","15456168141.36209100"
"2024-08-20 00:00:00 UTC+0","0.10301025","436428167.145483","15000125405.66648900"
"2024-08-19 00:00:00 UTC+0","0.10126092","294843965.866218","14744020460.43696800"
"2024-08-18 00:00:00 UTC+0","0.10045323","228505319.103474","14625044499.95466800"
"2024-08-17 00:00:00 UTC+0","0.10275045","193452067.689897","14957953184.34966300"
"2024-08-16 00:00:00 UTC+0","0.10030143","336445660.186552","14600174958.65528700"
"2024-08-15 00:00:00 UTC+0","0.10029691","394612786.053221","14598024435.59464500"
"2024-08-14 00:00:00 UTC+0","0.10247871","360884333.056776","14914365045.05904400"
"2024-08-13 00:00:00 UTC+0","0.10642279","359069138.473201","15486933876.67956200"
"2024-08-12 00:00:00 UTC+0","0.10773503","482188718.397212","15676435131.02756300"
"2024-08-11 00:00:00 UTC+0","0.10061234","400597706.680418","14638421816.95716900"
"2024-08-10 00:00:00 UTC+0","0.10515609","232967685.625233","15298326939.57723400"
"2024-08-09 00:00:00 UTC+0","0.10397816","373801150.627159","15125527834.99308200"
"2024-08-08 00:00:00 UTC+0","0.10718230","590102167.591270","15590053039.23703000"
"2024-08-07 00:00:00 UTC+0","0.09530585","634514620.121833","13861436304.85096700"
"2024-08-06 00:00:00 UTC+0","0.09633364","720102820.214328","14009561642.74069800"
"2024-08-05 00:00:00 UTC+0","0.09458250","2215162908.109021","13753599664.91110800"
"2024-08-04 00:00:00 UTC+0","0.10385341","523252148.110048","15100402446.91106000"
"2024-08-03 00:00:00 UTC+0","0.10821297","503158617.099822","15732745198.21666300"
"2024-08-02 00:00:00 UTC+0","0.11140702","497827436.932290","16195659007.83804300"
"2024-08-01 00:00:00 UTC+0","0.11904555","534097769.222331","17304432472.62798300"
"2024-07-31 00:00:00 UTC+0","0.12201364","368809582.486411","17734347993.15025700"
"2024-07-30 00:00:00 UTC+0","0.12554476","402060505.040235","18245860718.96209000"
"2024-07-29 00:00:00 UTC+0","0.12862626","519742634.367541","18691864654.87921500"
"2024-07-28 00:00:00 UTC+0","0.13003735","537765239.272871","18895340929.05422200"
"2024-07-27 00:00:00 UTC+0","0.13167096","787316508.711711","19130693732.72236300"
"2024-07-26 00:00:00 UTC+0","0.13440924","492994621.359021","19526992076.07381400"
"2024-07-25 00:00:00 UTC+0","0.12526398","632471866.137856","18196695765.73669400"
"2024-07-24 00:00:00 UTC+0","0.12807356","458563332.084355","18603132469.98888400"
"2024-07-23 00:00:00 UTC+0","0.13033285","587433922.430249","18929538937.15646400"
"2024-07-22 00:00:00 UTC+0","0.13795581","957102035.276399","20034836143.97143600"
"2024-07-21 00:00:00 UTC+0","0.14016575","849850874.332632","20353882783.52712200"
"2024-07-20 00:00:00 UTC+0","0.13428374","716484643.244264","19497907541.32944000"
"2024-07-19 00:00:00 UTC+0","0.12551580","455280643.953029","18223097057.74063500"
"2024-07-18 00:00:00 UTC+0","0.11957300","434980806.613197","17358675969.07600000"
"2024-07-17 00:00:00 UTC+0","0.12180086","434343843.011695","17680440839.87529400"
"2024-07-16 00:00:00 UTC+0","0.12498476","609908102.181916","18140935304.31806000"
"2024-07-15 00:00:00 UTC+0","0.12527203","534251772.687499","18180938155.02911400"
"2024-07-14 00:00:00 UTC+0","0.11562826","343996617.520246","16779749758.93423300"
"2024-07-13 00:00:00 UTC+0","0.11244209","320041794.554968","16315870796.21807300"
"2024-07-12 00:00:00 UTC+0","0.10773594","296270366.688004","15631527282.73425100"
"2024-07-11 00:00:00 UTC+0","0.10665174","333027249.368998","15472778804.33431400"
"2024-07-10 00:00:00 UTC+0","0.10806540","352309271.417368","15676412378.05528600"
"2024-07-09 00:00:00 UTC+0","0.10751564","355176564.783770","15595195191.21320700"
"2024-07-08 00:00:00 UTC+0","0.10753824","648421209.926820","15597020178.70524000"
"2024-07-07 00:00:00 UTC+0","0.10427609","342126581.897110","15122481349.13242300"
"2024-07-06 00:00:00 UTC+0","0.11336977","489420460.433136","16439721310.12845000"
"2024-07-05 00:00:00 UTC+0","0.10563989","1023658349.861563","15317381989.66819800"
"2024-07-04 00:00:00 UTC+0","0.10493515","630309049.563080","15213787265.73266400"
"2024-07-03 00:00:00 UTC+0","0.11841016","350143817.119649","17165827623.84733600"
"2024-07-02 00:00:00 UTC+0","0.12492546","223381043.052382","18108643968.01105500"
"2024-07-01 00:00:00 UTC+0","0.12344730","226495823.488932","17892700690.54751000"
"2024-06-30 00:00:00 UTC+0","0.12429067","186892440.504528","18012848548.11191600"
"2024-06-29 00:00:00 UTC+0","0.12168757","142635085.216956","17634340907.97778000"
"2024-06-28 00:00:00 UTC+0","0.12277745","337675085.056063","17790471703.49512500"
"2024-06-27 00:00:00 UTC+0","0.12687698","346262233.030250","18382946933.06482300"
"2024-06-26 00:00:00 UTC+0","0.12263734","294778704.317234","17767010690.89941000"
"2024-06-25 00:00:00 UTC+0","0.12606773","465060736.124487","18262262403.52716000"
"2024-06-24 00:00:00 UTC+0","0.11907358","541703438.111766","17247468425.61689400"
"2024-06-23 00:00:00 UTC+0","0.12219015","229650327.577081","17697252027.66708000"
"2024-06-22 00:00:00 UTC+0","0.12370884","175829189.621106","17915552766.16660300"
"2024-06-21 00:00:00 UTC+0","0.12396876","336842558.803863","17951530711.38070700"
"2024-06-20 00:00:00 UTC+0","0.12439742","405483671.621791","18011913011.79033300"
"2024-06-19 00:00:00 UTC+0","0.12244383","348346241.142226","17727379013.71785400"
"2024-06-18 00:00:00 UTC+0","0.12211413","826651810.250657","17678000218.95352600"
"2024-06-17 00:00:00 UTC+0","0.12886343","551105610.084927","18653321500.55637400"
"2024-06-16 00:00:00 UTC+0","0.13696294","220713664.008233","19823888270.61042800"
"2024-06-15 00:00:00 UTC+0","0.13661049","275741963.243617","19771017299.98792300"
"2024-06-14 00:00:00 UTC+0","0.13502830","504859128.825091","19540206472.75629400"
"2024-06-13 00:00:00 UTC+0","0.14105254","452031467.477147","20410077491.70530300"
"2024-06-12 00:00:00 UTC+0","0.14596118","749184428.241027","21118391456.80946400"
"2024-06-11 00:00:00 UTC+0","0.13807611","644758805.139347","19975694810.12270400"
"2024-06-10 00:00:00 UTC+0","0.14470988","311887351.174144","20933445149.14666700"
"2024-06-09 00:00:00 UTC+0","0.14675453","251602119.509932","21227222189.53927600"
"2024-06-08 00:00:00 UTC+0","0.14605449","407465212.380711","21123985178.26743300"
"2024-06-07 00:00:00 UTC+0","0.14826392","734535715.485515","21441542780.49096000"
"2024-06-06 00:00:00 UTC+0","0.16013094","438474420.838468","23155555773.63327400"
"2024-06-05 00:00:00 UTC+0","0.16310810","397970542.065662","23583856309.81920200"
"2024-06-04 00:00:00 UTC+0","0.16137823","370564018.097226","23331569088.50491300"
"2024-06-03 00:00:00 UTC+0","0.15818960","436273308.473619","22868438282.92725400"
