"Date","Price","Volume","Market_cap"
"2024-09-13 00:00:00 UTC+0","0.57385693","640598034.793944","32357510039.72405000"
"2024-09-12 00:00:00 UTC+0","0.56237599","795463687.756929","31710145324.02187700"
"2024-09-11 00:00:00 UTC+0","0.53532529","384316616.866288","30154539457.57422300"
"2024-09-10 00:00:00 UTC+0","0.54133573","299349042.699709","30493103820.58037000"
"2024-09-09 00:00:00 UTC+0","0.53950728","378545892.487554","30390107937.18366200"
"2024-09-08 00:00:00 UTC+0","0.52879939","182700865.776576","29786939692.59232000"
"2024-09-07 00:00:00 UTC+0","0.52555354","206775809.874829","29604102792.70825200"
"2024-09-06 00:00:00 UTC+0","0.52148483","738547012.322143","29374914947.77495200"
"2024-09-05 00:00:00 UTC+0","0.54411763","397581253.991894","30607466248.36192300"
"2024-09-04 00:00:00 UTC+0","0.55860061","538683537.483515","31422156355.47204200"
"2024-09-03 00:00:00 UTC+0","0.55688766","359561626.004127","31325800043.99915700"
"2024-09-02 00:00:00 UTC+0","0.56752433","370763751.736918","31924129494.66352000"
"2024-09-01 00:00:00 UTC+0","0.54818434","289146389.768631","30836225076.18474200"
"2024-08-31 00:00:00 UTC+0","0.56616078","171272742.520967","31847427762.91951400"
"2024-08-30 00:00:00 UTC+0","0.56751883","520117823.420489","31923820458.81359000"
"2024-08-29 00:00:00 UTC+0","0.56181012","447401528.917383","31602696193.71362000"
"2024-08-28 00:00:00 UTC+0","0.57009631","646328802.639090","32028064548.00686000"
"2024-08-27 00:00:00 UTC+0","0.56753187","684820291.425107","31883994381.02439500"
"2024-08-26 00:00:00 UTC+0","0.58804869","513453355.618416","33036631201.06604400"
"2024-08-25 00:00:00 UTC+0","0.60075171","357277363.244709","33750287831.20102700"
"2024-08-24 00:00:00 UTC+0","0.61325459","485923676.285564","34452700963.93828600"
"2024-08-23 00:00:00 UTC+0","0.61185928","574742555.351336","34374312576.95828000"
"2024-08-22 00:00:00 UTC+0","0.59764529","421062346.911567","33575769011.12503000"
"2024-08-21 00:00:00 UTC+0","0.60013139","542368428.826769","33675221099.88698000"
"2024-08-20 00:00:00 UTC+0","0.59441956","557414816.849311","33354713071.85463300"
"2024-08-19 00:00:00 UTC+0","0.59821019","759559521.482573","33567417035.84988400"
"2024-08-18 00:00:00 UTC+0","0.56561373","244898280.365407","31738329052.89428000"
"2024-08-17 00:00:00 UTC+0","0.56652814","168210034.501673","31789639368.69172700"
"2024-08-16 00:00:00 UTC+0","0.56384212","422949654.338295","31638918371.14611400"
"2024-08-15 00:00:00 UTC+0","0.56108157","517412108.460973","31484015843.04878200"
"2024-08-14 00:00:00 UTC+0","0.56893165","499406364.944316","31924507927.20882400"
"2024-08-13 00:00:00 UTC+0","0.57596821","552542655.642096","32319350804.00914000"
"2024-08-12 00:00:00 UTC+0","0.56857374","645988563.949118","31904424218.73271600"
"2024-08-11 00:00:00 UTC+0","0.55308233","483377247.677840","31030331045.99966400"
"2024-08-10 00:00:00 UTC+0","0.58550754","464479774.848186","32849526527.81416000"
"2024-08-09 00:00:00 UTC+0","0.58099090","910107278.362423","32596123521.42099400"
"2024-08-08 00:00:00 UTC+0","0.61789367","1561163317.853038","34601603227.86934000"
"2024-08-07 00:00:00 UTC+0","0.59810945","2082646529.478041","33493701052.96545400"
"2024-08-06 00:00:00 UTC+0","0.50595949","744908572.762545","28333368987.26956000"
"2024-08-05 00:00:00 UTC+0","0.49008376","1955657662.492908","27444339447.65969000"
"2024-08-04 00:00:00 UTC+0","0.52407860","484888269.829943","29348026242.07599300"
"2024-08-03 00:00:00 UTC+0","0.55628944","521634153.719152","31151810582.74143600"
"2024-08-02 00:00:00 UTC+0","0.56039619","796789602.124211","31381785572.15006000"
"2024-08-01 00:00:00 UTC+0","0.59626292","881600225.846577","33367391046.11343000"
"2024-07-31 00:00:00 UTC+0","0.62424518","1029951681.525603","34933302790.34115600"
"2024-07-30 00:00:00 UTC+0","0.62656143","968604199.358771","35062921760.04899000"
"2024-07-29 00:00:00 UTC+0","0.60212772","497085266.266519","33695590428.10957000"
"2024-07-28 00:00:00 UTC+0","0.60199631","367208878.884916","33688236588.58634600"
"2024-07-27 00:00:00 UTC+0","0.59788365","519277275.954622","33458088282.94681000"
"2024-07-26 00:00:00 UTC+0","0.60359629","626370948.472563","33777772943.70802700"
"2024-07-25 00:00:00 UTC+0","0.59964019","1032636397.477368","33556386146.97117600"
"2024-07-24 00:00:00 UTC+0","0.61861595","869623885.398009","34586497293.17376000"
"2024-07-23 00:00:00 UTC+0","0.59745876","731096535.787150","33403609833.09633300"
"2024-07-22 00:00:00 UTC+0","0.60739016","885908169.610937","33958869180.43499400"
"2024-07-21 00:00:00 UTC+0","0.59769146","788140768.386899","33416620013.31778700"
"2024-07-20 00:00:00 UTC+0","0.59417209","605923735.415835","33219853929.75017500"
"2024-07-19 00:00:00 UTC+0","0.57420753","1339060833.670017","32103645480.04189700"
"2024-07-18 00:00:00 UTC+0","0.56992518","1248483200.614850","31864221650.55905000"
"2024-07-17 00:00:00 UTC+0","0.62592235","1667391382.760300","34994994070.28658000"
"2024-07-16 00:00:00 UTC+0","0.57915094","1532268016.674201","32319715027.62280000"
"2024-07-15 00:00:00 UTC+0","0.53716425","805321039.296226","29976633585.06052400"
"2024-07-14 00:00:00 UTC+0","0.52331513","661521798.529554","29203778290.12213500"
"2024-07-13 00:00:00 UTC+0","0.52711736","1362791519.233904","29415963157.47579000"
"2024-07-12 00:00:00 UTC+0","0.47500157","737639777.985022","26507623792.01351500"
"2024-07-11 00:00:00 UTC+0","0.44888992","475193325.952963","25050454287.01207700"
"2024-07-10 00:00:00 UTC+0","0.43916683","409550766.671178","24471721555.00083500"
"2024-07-09 00:00:00 UTC+0","0.43591578","414397201.227874","24290563111.25152200"
"2024-07-08 00:00:00 UTC+0","0.43122753","686844900.014174","24029319448.95989600"
"2024-07-07 00:00:00 UTC+0","0.41994759","262250667.967971","23400766425.43788500"
"2024-07-06 00:00:00 UTC+0","0.44881316","275355564.554461","25009244527.09878500"
"2024-07-05 00:00:00 UTC+0","0.42518980","977579980.958151","23692878222.83646800"
"2024-07-04 00:00:00 UTC+0","0.43373019","624688150.268420","24168775115.46912000"
"2024-07-03 00:00:00 UTC+0","0.46682292","498774714.444713","25996587691.81910300"
"2024-07-02 00:00:00 UTC+0","0.48417729","360749017.138616","26963023500.02526500"
"2024-07-01 00:00:00 UTC+0","0.47656567","343644807.641781","26539145397.41657600"
"2024-06-30 00:00:00 UTC+0","0.47552019","162596414.869768","26480924143.14792300"
"2024-06-29 00:00:00 UTC+0","0.47176910","127486187.629515","26272032407.34663800"
"2024-06-28 00:00:00 UTC+0","0.47091969","400694499.101212","26224729980.57982300"
"2024-06-27 00:00:00 UTC+0","0.47450515","351845310.533684","26424398168.72091300"
"2024-06-26 00:00:00 UTC+0","0.46941111","365631549.337613","26140719783.57817000"
"2024-06-25 00:00:00 UTC+0","0.47555263","355457780.490109","26449374371.97051200"
"2024-06-24 00:00:00 UTC+0","0.47417153","598422822.095852","26372560098.34052300"
"2024-06-23 00:00:00 UTC+0","0.47930896","170333465.240966","26658295066.19462000"
"2024-06-22 00:00:00 UTC+0","0.48626517","152923102.314221","27045186720.69333000"
"2024-06-21 00:00:00 UTC+0","0.48868427","482946836.460599","27179732828.07990600"
"2024-06-20 00:00:00 UTC+0","0.48868000","465407115.855755","27179495076.77807200"
"2024-06-19 00:00:00 UTC+0","0.49324691","422120199.084661","27409959328.18093000"
"2024-06-18 00:00:00 UTC+0","0.49032165","908888659.778242","27247401660.22968700"
"2024-06-17 00:00:00 UTC+0","0.50502646","888250854.526482","28064554465.63497500"
"2024-06-16 00:00:00 UTC+0","0.48879610","278981543.256820","27162626069.66775500"
"2024-06-15 00:00:00 UTC+0","0.49073199","317413910.788437","27270204265.59556000"
"2024-06-14 00:00:00 UTC+0","0.47442171","542222116.496954","26363834198.47076400"
"2024-06-13 00:00:00 UTC+0","0.47683787","423887903.863004","26498101553.92318000"
"2024-06-12 00:00:00 UTC+0","0.49144216","545335833.925241","27278066284.78769000"
"2024-06-11 00:00:00 UTC+0","0.48037313","635599652.707996","26663667009.01340000"
"2024-06-10 00:00:00 UTC+0","0.49643039","357649433.487868","27554943986.02315500"
"2024-06-09 00:00:00 UTC+0","0.49848010","151713464.706394","27668715308.27966700"
"2024-06-08 00:00:00 UTC+0","0.49324613","256790318.611313","27378197565.46988000"
"2024-06-07 00:00:00 UTC+0","0.49898230","792604619.378489","27696590651.15323300"
"2024-06-06 00:00:00 UTC+0","0.52152136","402427687.588329","28947647195.04916000"
"2024-06-05 00:00:00 UTC+0","0.52564102","383842701.523360","29146983218.16478700"
"2024-06-04 00:00:00 UTC+0","0.52565497","398691938.502817","29147756981.61427300"
"2024-06-03 00:00:00 UTC+0","0.52012760","369732439.305685","28841261911.54183200"
"2024-06-02 00:00:00 UTC+0","0.51338516","226164275.945866","28467391510.04738000"
"2024-06-01 00:00:00 UTC+0","0.51807196","171773954.921946","28727276001.04926700"
"2024-05-31 00:00:00 UTC+0","0.51783608","458762403.101199","28714196335.11402500"
"2024-05-30 00:00:00 UTC+0","0.51877320","498102002.129284","28766160054.79155300"
"2024-05-29 00:00:00 UTC+0","0.52307787","476738499.670690","28994455194.57134000"
"2024-05-28 00:00:00 UTC+0","0.52844773","464204043.202313","29292109276.44105000"
"2024-05-27 00:00:00 UTC+0","0.53384228","414205529.115065","29591131603.19379800"
"2024-05-26 00:00:00 UTC+0","0.52808679","206121896.228966","29272101866.18823600"
