"Date","Price","Volume","Market_cap"
"2024-09-13 00:00:00 UTC+0","139.14700424","1076877295.640664","65136566749.99847000"
"2024-09-12 00:00:00 UTC+0","136.16929653","1005487357.217295","63733980110.36998000"
"2024-09-11 00:00:00 UTC+0","132.61736458","1398806554.832610","62055986317.57947500"
"2024-09-10 00:00:00 UTC+0","135.58506247","1131144700.629940","63420950913.85981000"
"2024-09-09 00:00:00 UTC+0","135.00484701","1730488902.487673","63133638329.80000000"
"2024-09-08 00:00:00 UTC+0","130.17027166","918522501.651454","60873169686.86415000"
"2024-09-07 00:00:00 UTC+0","127.77977156","897683052.245683","59740306699.83375000"
"2024-09-06 00:00:00 UTC+0","125.04009618","2413025050.932889","58389396107.52275000"
"2024-09-05 00:00:00 UTC+0","129.35395025","1272715656.587905","60388596844.66675000"
"2024-09-04 00:00:00 UTC+0","133.92119327","1930913981.939911","62516734427.95811000"
"2024-09-03 00:00:00 UTC+0","127.43267700","1176721508.129538","59472857089.01931000"
"2024-09-02 00:00:00 UTC+0","135.07280203","1462575708.699023","63038747902.85934400"
"2024-09-01 00:00:00 UTC+0","128.73724486","1298538516.299491","60066770478.57478000"
"2024-08-31 00:00:00 UTC+0","135.18586989","587436220.611422","63058200513.90456400"
"2024-08-30 00:00:00 UTC+0","138.26397905","1873747954.047753","64468171850.67847000"
"2024-08-29 00:00:00 UTC+0","139.95997245","1394493702.083552","65258995179.58139000"
"2024-08-28 00:00:00 UTC+0","143.91589601","2047056891.478231","67104190704.02817000"
"2024-08-27 00:00:00 UTC+0","147.05263306","1895118430.996785","68549448396.52209500"
"2024-08-26 00:00:00 UTC+0","157.31508772","1792663684.626945","73334170277.03613000"
"2024-08-25 00:00:00 UTC+0","159.07674485","1421421079.338959","74136746712.13837000"
"2024-08-24 00:00:00 UTC+0","160.81308328","2055339211.683347","74946545236.01906000"
"2024-08-23 00:00:00 UTC+0","153.44181144","1899988259.043846","71493016514.22482000"
"2024-08-22 00:00:00 UTC+0","143.29624137","949359055.993424","66764599447.48913600"
"2024-08-21 00:00:00 UTC+0","142.67127425","1319453099.781995","66546127147.58591500"
"2024-08-20 00:00:00 UTC+0","142.34642867","1418789297.250640","66394815246.07236500"
