"Date","Price","Volume","Market_cap"
"2024-09-13 00:00:00 UTC+0","0.14939255","121885046.910991","12952406666.29683100"
"2024-09-12 00:00:00 UTC+0","0.15193940","109093006.207022","13173958577.88699500"
"2024-09-11 00:00:00 UTC+0","0.15336101","104940454.003723","13297979263.76995800"
"2024-09-10 00:00:00 UTC+0","0.15304780","102609674.249709","13271601617.08722500"
"2024-09-09 00:00:00 UTC+0","0.15458233","115072880.389663","13405611884.15680700"
"2024-09-08 00:00:00 UTC+0","0.15317139","113250688.363549","13284218238.28335200"
"2024-09-07 00:00:00 UTC+0","0.15184867","106864719.895042","13169885229.60975300"
"2024-09-06 00:00:00 UTC+0","0.14800334","136900168.941063","12836982434.87891800"
"2024-09-05 00:00:00 UTC+0","0.14981242","116807510.698045","12994936175.06129000"
"2024-09-04 00:00:00 UTC+0","0.14988107","168719968.031976","13001842343.66732800"
"2024-09-03 00:00:00 UTC+0","0.15034629","127506452.048996","13043174186.61531600"
"2024-09-02 00:00:00 UTC+0","0.15410722","132471501.633701","13370500592.92509500"
"2024-09-01 00:00:00 UTC+0","0.15552128","116931198.139075","13494490784.81307200"
"2024-08-31 00:00:00 UTC+0","0.15778864","150823799.394819","13692290125.45253000"
"2024-08-30 00:00:00 UTC+0","0.16002899","209414158.776375","13887830624.26680200"
"2024-08-29 00:00:00 UTC+0","0.15998485","165239680.511763","13885637548.85704400"
"2024-08-28 00:00:00 UTC+0","0.15818382","210888450.875224","13731073372.33643200"
"2024-08-27 00:00:00 UTC+0","0.15801645","274005393.299075","13718454821.74037400"
"2024-08-26 00:00:00 UTC+0","0.16180654","336229461.846422","14049804897.71251500"
"2024-08-25 00:00:00 UTC+0","0.16659113","387984522.460054","14467886646.02276000"
"2024-08-24 00:00:00 UTC+0","0.15888076","285806326.203336","13799826494.11097000"
"2024-08-23 00:00:00 UTC+0","0.15883144","297083053.113970","13797359642.71228000"
"2024-08-22 00:00:00 UTC+0","0.15556303","492101358.830041","13515308605.94327200"
"2024-08-21 00:00:00 UTC+0","0.15381767","623830975.292858","13366305356.68658000"
"2024-08-20 00:00:00 UTC+0","0.16129111","602543360.006586","14020251816.67917300"
"2024-08-19 00:00:00 UTC+0","0.14300984","280865874.769009","12433844490.19819000"
"2024-08-18 00:00:00 UTC+0","0.13524723","86772912.924264","11760086850.28705000"
"2024-08-17 00:00:00 UTC+0","0.13493019","107652990.704067","11732871554.23055300"
"2024-08-16 00:00:00 UTC+0","0.13408352","137410065.725684","11659812856.29925300"
"2024-08-15 00:00:00 UTC+0","0.13024125","120517731.818053","11326487236.56056200"
"2024-08-14 00:00:00 UTC+0","0.13054793","117621852.758162","11353870620.09023300"
"2024-08-13 00:00:00 UTC+0","0.12878982","94855342.069133","11201598307.19784500"
"2024-08-12 00:00:00 UTC+0","0.12676307","95842038.020903","11026007408.26103800"
"2024-08-11 00:00:00 UTC+0","0.12775104","63871718.512853","11112588852.00199500"
"2024-08-10 00:00:00 UTC+0","0.12907834","71384770.938912","11228281154.88959900"
"2024-08-09 00:00:00 UTC+0","0.12836243","97056846.572430","11166300559.80303800"
"2024-08-08 00:00:00 UTC+0","0.12706191","126749857.291320","11053799545.78310600"
"2024-08-07 00:00:00 UTC+0","0.12474360","121900253.468217","10852746843.25848800"
"2024-08-06 00:00:00 UTC+0","0.12351844","150137870.195923","10746792950.52052000"
"2024-08-05 00:00:00 UTC+0","0.12171074","387739800.108186","10590235477.46763800"
"2024-08-04 00:00:00 UTC+0","0.12649573","157120659.494733","11007881722.70616500"
"2024-08-03 00:00:00 UTC+0","0.12541052","120874857.973244","10913733693.48070300"
"2024-08-02 00:00:00 UTC+0","0.12347396","130685392.694766","10745589133.08997300"
"2024-08-01 00:00:00 UTC+0","0.12823698","130077402.945868","11160838770.01266900"
"2024-07-31 00:00:00 UTC+0","0.12873365","117340713.387278","11204972274.68970300"
"2024-07-30 00:00:00 UTC+0","0.13301332","94962226.916364","11578338563.72371500"
"2024-07-29 00:00:00 UTC+0","0.13771698","134727347.627032","11988556023.14713900"
"2024-07-28 00:00:00 UTC+0","0.13869106","67380374.011350","12074087391.06419600"
"2024-07-27 00:00:00 UTC+0","0.13727678","73441869.925552","11951164953.17565500"
"2024-07-26 00:00:00 UTC+0","0.13745436","82940385.877313","11966957453.01219600"
"2024-07-25 00:00:00 UTC+0","0.13548254","113909633.165147","11795874372.85654600"
"2024-07-24 00:00:00 UTC+0","0.13438942","86758083.379629","11701364297.11870400"
"2024-07-23 00:00:00 UTC+0","0.13414531","103643962.964498","11680721196.48768400"
"2024-07-22 00:00:00 UTC+0","0.13245355","150936625.458523","11534080454.05823100"
"2024-07-21 00:00:00 UTC+0","0.13436759","69238936.628446","11701571639.67523800"
"2024-07-20 00:00:00 UTC+0","0.13473362","70232036.520191","11733837456.30503700"
"2024-07-19 00:00:00 UTC+0","0.13474248","107782599.947943","11735089116.80189300"
"2024-07-18 00:00:00 UTC+0","0.13438320","87082692.544133","11704592957.99862900"
"2024-07-17 00:00:00 UTC+0","0.13354847","96691787.235102","11632643952.46183200"
"2024-07-16 00:00:00 UTC+0","0.13408007","138839817.565868","11679745746.99758100"
"2024-07-15 00:00:00 UTC+0","0.13735632","107242180.685626","11966025404.14060000"
"2024-07-14 00:00:00 UTC+0","0.13772985","90566460.816283","11999553542.77153800"
"2024-07-13 00:00:00 UTC+0","0.13947262","116129636.623489","12151872265.76348500"
"2024-07-12 00:00:00 UTC+0","0.13738117","100194265.422300","11970085737.06827200"
"2024-07-11 00:00:00 UTC+0","0.13437366","118457094.067927","11708771740.98715000"
"2024-07-10 00:00:00 UTC+0","0.13157463","87885668.899604","11465634797.29819100"
"2024-07-09 00:00:00 UTC+0","0.12992285","96536007.179522","11322467152.82576600"
"2024-07-08 00:00:00 UTC+0","0.12611612","139309140.910008","10991433808.43371200"
"2024-07-07 00:00:00 UTC+0","0.12468383","90829353.458403","10867375057.66112000"
"2024-07-06 00:00:00 UTC+0","0.12987557","81818612.215534","11320200220.29361700"
"2024-07-05 00:00:00 UTC+0","0.12693525","227633429.605344","11064331887.52548000"
"2024-07-04 00:00:00 UTC+0","0.12715913","136713488.491113","11084833932.25057000"
"2024-07-03 00:00:00 UTC+0","0.12867039","101573844.619306","11217402597.14618100"
"2024-07-02 00:00:00 UTC+0","0.12902990","67479207.578694","11249559568.14044200"
"2024-07-01 00:00:00 UTC+0","0.12769440","85124435.277581","11133948360.72283600"
"2024-06-30 00:00:00 UTC+0","0.12451289","52770060.587350","10857452964.23889000"
"2024-06-29 00:00:00 UTC+0","0.12535144","67822332.485285","10931054228.89150000"
"2024-06-28 00:00:00 UTC+0","0.12296918","75888851.509405","10723801808.62110100"
"2024-06-27 00:00:00 UTC+0","0.12180930","72176739.163562","10623385875.53801700"
"2024-06-26 00:00:00 UTC+0","0.12249835","92539934.261418","10684222293.22754000"
"2024-06-25 00:00:00 UTC+0","0.12188921","85962332.860703","10631925373.39135000"
"2024-06-24 00:00:00 UTC+0","0.11899212","116336329.200366","10380069041.40396900"
"2024-06-23 00:00:00 UTC+0","0.11915976","48571229.920279","10395477665.61590000"
"2024-06-22 00:00:00 UTC+0","0.11955623","57030241.319575","10430405833.48028000"
"2024-06-21 00:00:00 UTC+0","0.11831523","88011120.617783","10322557859.15922200"
"2024-06-20 00:00:00 UTC+0","0.11669280","69844861.606825","10181699105.28936800"
"2024-06-19 00:00:00 UTC+0","0.11578325","76696388.906796","10103091669.81409600"
"2024-06-18 00:00:00 UTC+0","0.11532248","119920010.405631","10063617258.01945900"
"2024-06-17 00:00:00 UTC+0","0.11675886","110548858.371922","10189855930.55621300"
"2024-06-16 00:00:00 UTC+0","0.11725577","55195980.210931","10234006222.58665000"
"2024-06-15 00:00:00 UTC+0","0.11522884","54757464.884718","10057486620.48345800"
"2024-06-14 00:00:00 UTC+0","0.11647606","103078538.547091","10166876549.27941100"
"2024-06-13 00:00:00 UTC+0","0.11687385","99918120.444343","10202381550.93911600"
"2024-06-12 00:00:00 UTC+0","0.11642888","126455234.333503","10164232700.05549000"
"2024-06-11 00:00:00 UTC+0","0.11653117","117270941.247549","10173934573.42060300"
"2024-06-10 00:00:00 UTC+0","0.11754787","87321703.549461","10263615732.54858400"
"2024-06-09 00:00:00 UTC+0","0.11690599","75157287.455050","10208328102.24960300"
"2024-06-08 00:00:00 UTC+0","0.11476746","93437204.363299","10021990219.57461400"
"2024-06-07 00:00:00 UTC+0","0.11276420","115887235.732397","9847583059.63140100"
"2024-06-06 00:00:00 UTC+0","0.11474965","73956424.440657","10021833882.73439600"
"2024-06-05 00:00:00 UTC+0","0.11460221","73754453.526931","10009746630.05539100"
"2024-06-04 00:00:00 UTC+0","0.11448819","77426903.263350","10000594914.13063800"
"2024-06-03 00:00:00 UTC+0","0.11340985","84875405.884303","9907180492.26080300"
"2024-06-02 00:00:00 UTC+0","0.11471867","74503260.853070","10022375028.10124000"
"2024-06-01 00:00:00 UTC+0","0.11251843","59383874.915170","9830610174.59034300"
"2024-05-31 00:00:00 UTC+0","0.11209685","91351174.645657","9794425723.44253300"
"2024-05-30 00:00:00 UTC+0","0.11200720","84617694.599537","9787471989.05810400"
"2024-05-29 00:00:00 UTC+0","0.11193888","88201365.502898","9782191205.51475300"
"2024-05-28 00:00:00 UTC+0","0.11120264","106487368.696429","9718496562.01780000"
"2024-05-27 00:00:00 UTC+0","0.11245711","111618056.274647","9828790576.50389300"
"2024-05-26 00:00:00 UTC+0","0.11310083","60802295.002726","9885699227.17539800"
"2024-05-25 00:00:00 UTC+0","0.11379086","82063300.607013","9946309827.96435400"
"2024-05-24 00:00:00 UTC+0","0.11548494","110588072.428440","10094766474.89373400"
"2024-05-23 00:00:00 UTC+0","0.11521947","133318822.718315","10072173651.35463000"
"2024-05-22 00:00:00 UTC+0","0.12007443","99209710.719505","10497253230.00204800"
"2024-05-21 00:00:00 UTC+0","0.12354441","120461625.235600","10801302605.27693000"
"2024-05-20 00:00:00 UTC+0","0.12442396","114812203.621003","10878998395.97264000"
"2024-05-19 00:00:00 UTC+0","0.12119005","62082013.278165","10597022358.07763000"
"2024-05-18 00:00:00 UTC+0","0.12306383","62386583.585779","10761224068.98655000"
"2024-05-17 00:00:00 UTC+0","0.12442764","88082843.506315","10880930819.73902100"
"2024-05-16 00:00:00 UTC+0","0.12501590","115812539.163598","10933174472.96312700"
"2024-05-15 00:00:00 UTC+0","0.12634836","81525466.203826","11050621598.39639700"
"2024-05-14 00:00:00 UTC+0","0.12539476","81978394.201507","10968086711.07122000"
"2024-05-13 00:00:00 UTC+0","0.12562873","95133463.390431","10989323521.30273600"
"2024-05-12 00:00:00 UTC+0","0.12730147","46605637.283491","11136431313.88945200"
"2024-05-11 00:00:00 UTC+0","0.12646509","70929300.518038","11063611318.13561000"
"2024-05-10 00:00:00 UTC+0","0.12748052","129458444.068380","11152939145.43311900"
"2024-05-09 00:00:00 UTC+0","0.12620292","143713203.635471","11042294485.44560000"
"2024-05-08 00:00:00 UTC+0","0.12283263","148474850.835885","10748049570.32663300"
"2024-05-07 00:00:00 UTC+0","0.12066932","116602721.243623","10559432962.54966700"
"2024-05-06 00:00:00 UTC+0","0.11867201","107882925.255619","10385392494.25187900"
"2024-05-05 00:00:00 UTC+0","0.12108421","63880586.260350","10597246438.64702200"
"2024-05-04 00:00:00 UTC+0","0.12233893","80494838.300951","10707401212.36103400"
"2024-05-03 00:00:00 UTC+0","0.12280076","105735884.429092","10748253885.88586200"
"2024-05-02 00:00:00 UTC+0","0.12230299","130243405.000404","10705373996.00690700"
"2024-05-01 00:00:00 UTC+0","0.12040028","186911976.260677","10539472741.96842400"
"2024-04-30 00:00:00 UTC+0","0.11947474","189101187.700261","10459224073.09886700"
"2024-04-29 00:00:00 UTC+0","0.11909673","120439114.115537","10426948840.94610200"
"2024-04-28 00:00:00 UTC+0","0.12131530","86879723.570458","10621891419.74555400"
"2024-04-27 00:00:00 UTC+0","0.11978627","105779880.044635","10488409368.80773400"
"2024-04-26 00:00:00 UTC+0","0.12007923","139813633.320897","10514528120.84856000"
"2024-04-25 00:00:00 UTC+0","0.11723749","138306005.012544","10266388004.23506500"
"2024-04-24 00:00:00 UTC+0","0.11317862","123630447.588951","9911606163.11914400"
"2024-04-23 00:00:00 UTC+0","0.11329152","101989552.656572","9922192897.32584400"
"2024-04-22 00:00:00 UTC+0","0.11230537","103749858.665967","9836543779.02550100"
"2024-04-21 00:00:00 UTC+0","0.11134500","71756222.865092","9753178544.12281200"
"2024-04-20 00:00:00 UTC+0","0.11113462","98830874.094232","9735210243.31949600"
"2024-04-19 00:00:00 UTC+0","0.11007020","186038645.732544","9642532875.61881000"
"2024-04-18 00:00:00 UTC+0","0.10931933","140064828.652675","9577591998.33317200"
"2024-04-17 00:00:00 UTC+0","0.10974902","140909141.582267","9616069644.67626600"
"2024-04-16 00:00:00 UTC+0","0.11184846","171236087.803469","9800854920.09078200"
"2024-04-15 00:00:00 UTC+0","0.11150670","196505258.127362","9771695426.14536300"
"2024-04-14 00:00:00 UTC+0","0.11269686","189807866.762083","9876883272.58221400"
"2024-04-13 00:00:00 UTC+0","0.11087325","231938894.498770","9717498764.81475300"
"2024-04-12 00:00:00 UTC+0","0.11511815","216052158.445769","10090171645.92836200"
"2024-04-11 00:00:00 UTC+0","0.12040223","107507068.523856","10554198336.92781400"
"2024-04-10 00:00:00 UTC+0","0.11915146","179553983.643068","10445291188.15481400"
"2024-04-09 00:00:00 UTC+0","0.12111690","126768416.834499","10618351673.71062300"
"2024-04-08 00:00:00 UTC+0","0.12301241","129132816.582019","10785385785.68974900"
"2024-04-07 00:00:00 UTC+0","0.12051848","67593401.058851","10567611270.44778400"
"2024-04-06 00:00:00 UTC+0","0.11967968","74029386.259845","10494587240.62695500"
"2024-04-05 00:00:00 UTC+0","0.11802772","119580640.678470","10350300299.63098000"
"2024-04-04 00:00:00 UTC+0","0.11923336","122039231.271830","10456907241.71454200"
"2024-04-03 00:00:00 UTC+0","0.11728501","144984606.879506","10286871941.48392100"
"2024-04-02 00:00:00 UTC+0","0.11676164","180168655.578118","10241921747.47839700"
"2024-04-01 00:00:00 UTC+0","0.12060754","137011785.882289","10580391958.37921300"
"2024-03-31 00:00:00 UTC+0","0.12297222","81947410.770013","10788890496.91961900"
"2024-03-30 00:00:00 UTC+0","0.12257855","91055051.527161","10754906990.03611000"
"2024-03-29 00:00:00 UTC+0","0.12010500","109837343.839019","10538463451.17031500"
"2024-03-28 00:00:00 UTC+0","0.12040728","107354898.550970","10565798417.90055500"
"2024-03-27 00:00:00 UTC+0","0.11937356","140659665.705413","10476000260.70336500"
"2024-03-26 00:00:00 UTC+0","0.12081705","145467608.934464","10603678411.56064200"
"2024-03-25 00:00:00 UTC+0","0.12040436","155924092.231498","10568609941.86631400"
"2024-03-24 00:00:00 UTC+0","0.12021641","103113097.573872","10553171398.37597300"
"2024-03-23 00:00:00 UTC+0","0.11846709","103866331.126270","10400173576.89426400"
"2024-03-22 00:00:00 UTC+0","0.11745282","146262589.519077","10311781926.48335800"
"2024-03-21 00:00:00 UTC+0","0.12114542","157652622.924984","10636949880.23062300"
"2024-03-20 00:00:00 UTC+0","0.12107920","221306075.327954","10632185210.48913200"
"2024-03-19 00:00:00 UTC+0","0.11262367","251837199.083329","9890729085.46814500"
"2024-03-18 00:00:00 UTC+0","0.12407994","138365832.126869","10898044716.64741300"
"2024-03-17 00:00:00 UTC+0","0.12614055","132428188.618997","11080126154.62621300"
"2024-03-16 00:00:00 UTC+0","0.12517397","145153005.029993","10995920718.98769000"
"2024-03-15 00:00:00 UTC+0","0.12639148","259970276.133020","11103639184.21683100"
"2024-03-14 00:00:00 UTC+0","0.12910279","209058075.530573","11343002964.06684500"
"2024-03-13 00:00:00 UTC+0","0.13198653","165484379.342929","11597490623.58796500"
"2024-03-12 00:00:00 UTC+0","0.13145401","190688890.851120","11551825051.59201200"
"2024-03-11 00:00:00 UTC+0","0.13376155","199717355.371170","11755797162.88416000"
"2024-03-10 00:00:00 UTC+0","0.13391241","126353015.128959","11770295320.13227700"
