"Date","Price","Volume","Market_cap"
"2024-09-13 00:00:00 UTC+0","1.00239463","489934607.920705","118865452204.39536000"
"2024-09-12 00:00:00 UTC+0","0.99981992","315602884.615448","118356099071.94781000"
"2024-09-11 00:00:00 UTC+0","1.00027421","325508907.977183","118409877125.76608000"
"2024-09-10 00:00:00 UTC+0","1.00003431","599081607.687849","118380478375.08060000"
"2024-09-09 00:00:00 UTC+0","1.00039046","687862765.233921","118241536932.50175000"
"2024-09-08 00:00:00 UTC+0","1.00023010","195516126.130501","118222583647.70694000"
"2024-09-07 00:00:00 UTC+0","1.00234110","257817075.324704","118472093777.32776000"
"2024-09-06 00:00:00 UTC+0","1.00077128","882979527.671759","118282644888.10994000"
"2024-09-05 00:00:00 UTC+0","0.99967501","502970851.394773","118116370079.57826000"
"2024-09-04 00:00:00 UTC+0","1.00018684","662361247.104208","118176844963.26239000"
"2024-09-03 00:00:00 UTC+0","0.99975183","540436662.714932","118112968442.74538000"
"2024-09-02 00:00:00 UTC+0","0.99995034","467565728.034062","118135935117.98710000"
"2024-09-01 00:00:00 UTC+0","1.00006200","213098190.859355","118236332046.72125000"
"2024-08-31 00:00:00 UTC+0","1.00028069","170877930.988065","118261988313.89510000"
"2024-08-30 00:00:00 UTC+0","1.00084140","586941944.873144","118325318531.67134000"
"2024-08-29 00:00:00 UTC+0","1.00027705","656029961.302100","118137316278.72258000"
"2024-08-28 00:00:00 UTC+0","1.00030739","715184358.856156","118140900087.33855000"
"2024-08-27 00:00:00 UTC+0","1.00064675","753622579.080406","118115674146.66829000"
"2024-08-26 00:00:00 UTC+0","1.00019735","643652855.957512","117885353702.93846000"
"2024-08-25 00:00:00 UTC+0","1.00057650","323470659.690501","117928162964.19472000"
"2024-08-24 00:00:00 UTC+0","1.00041489","469468567.342780","117909115013.09436000"
"2024-08-23 00:00:00 UTC+0","1.00178000","873965347.510225","117885510159.36513000"
"2024-08-22 00:00:00 UTC+0","1.00014672","814455273.643023","117443369884.23280000"
"2024-08-21 00:00:00 UTC+0","1.00008305","842063127.628115","117304195111.13744000"
"2024-08-20 00:00:00 UTC+0","1.00014489","932767059.849031","117311448534.07715000"
"2024-08-19 00:00:00 UTC+0","1.00036562","653537710.938417","116929570990.89372000"
"2024-08-18 00:00:00 UTC+0","1.00045036","253038129.806740","116937816569.59990000"
"2024-08-17 00:00:00 UTC+0","1.00049230","299302586.225136","116894365361.35027000"
"2024-08-16 00:00:00 UTC+0","0.99974173","699418743.657550","116683652563.93681000"
"2024-08-15 00:00:00 UTC+0","1.00082934","699276220.368972","116628834123.61755000"
"2024-08-14 00:00:00 UTC+0","1.00037051","1075928848.597130","116226907251.10596000"
"2024-08-13 00:00:00 UTC+0","1.00035299","1217417133.716489","115679378165.11339000"
"2024-08-12 00:00:00 UTC+0","1.00029532","816765672.947346","115672709137.42592000"
"2024-08-11 00:00:00 UTC+0","1.00030648","236972436.791553","115673999581.90363000"
"2024-08-10 00:00:00 UTC+0","1.00053451","243798605.933508","115721380060.53113000"
"2024-08-09 00:00:00 UTC+0","1.00096774","632827784.745107","115516334710.11432000"
"2024-08-08 00:00:00 UTC+0","1.00034644","1187632376.580364","115057715365.99121000"
"2024-08-07 00:00:00 UTC+0","1.00032488","1120444771.848928","114588386109.28062000"
"2024-08-06 00:00:00 UTC+0","1.00064219","1241900575.523724","114496251775.46938000"
"2024-08-05 00:00:00 UTC+0","1.00099444","1936253250.985124","114641557130.58995000"
"2024-08-04 00:00:00 UTC+0","1.00075711","476777959.766672","114614376777.93748000"
"2024-08-03 00:00:00 UTC+0","1.00043155","358846543.417417","114592096691.38205000"
"2024-08-02 00:00:00 UTC+0","0.99969155","736506909.775975","114465962253.74286000"
"2024-08-01 00:00:00 UTC+0","0.99921861","779113865.107679","114406031451.71507000"
"2024-07-31 00:00:00 UTC+0","0.99983168","530095901.067692","114446869365.98943000"
"2024-07-30 00:00:00 UTC+0","0.99968295","546626281.370022","114425312573.64998000"
"2024-07-29 00:00:00 UTC+0","0.99989502","845292937.860933","114405840612.19562000"
"2024-07-28 00:00:00 UTC+0","1.00000114","264291264.580778","114417982909.51453000"
"2024-07-27 00:00:00 UTC+0","0.99998604","286912044.245084","114327613451.10649000"
"2024-07-26 00:00:00 UTC+0","1.00015610","574956346.964089","114302019430.69742000"
