"Date","Price","Volume","Market_cap"
"2024-09-13 00:00:00 UTC+0","1.00168468","1290814299.271040","35828272095.03932000"
"2024-09-12 00:00:00 UTC+0","0.99972765","899568280.136181","35397172473.21847000"
"2024-09-11 00:00:00 UTC+0","1.00008012","822605866.043581","35376250480.96915000"
"2024-09-10 00:00:00 UTC+0","1.00002604","667164506.750660","35340885798.27735000"
"2024-09-09 00:00:00 UTC+0","1.00008983","1075922827.232405","35153596057.15954000"
"2024-09-08 00:00:00 UTC+0","1.00014840","348722435.979245","35016079138.21391000"
"2024-09-07 00:00:00 UTC+0","1.00241775","290143240.207952","35040103538.60692600"
"2024-09-06 00:00:00 UTC+0","1.00099634","1576524457.357899","34888884576.60720000"
"2024-09-05 00:00:00 UTC+0","0.99986462","773695965.153962","34917793252.46096000"
"2024-09-04 00:00:00 UTC+0","1.00027163","1020274905.255079","34931797382.07316000"
"2024-09-03 00:00:00 UTC+0","0.99995432","757240978.890771","34652991741.19750000"
"2024-09-02 00:00:00 UTC+0","0.99998931","758504955.776305","34786687453.64490500"
"2024-09-01 00:00:00 UTC+0","1.00007276","357224007.856916","34744593853.94839000"
"2024-08-31 00:00:00 UTC+0","1.00037524","276450272.679963","34736467110.65797400"
"2024-08-30 00:00:00 UTC+0","1.00082259","974868819.230468","34772936364.69401600"
"2024-08-29 00:00:00 UTC+0","1.00006504","1068013911.439203","34654078624.63788600"
"2024-08-28 00:00:00 UTC+0","1.00008655","1168930890.234083","34486440770.09493000"
"2024-08-27 00:00:00 UTC+0","1.00026785","1039939992.900047","34341026347.31326700"
"2024-08-26 00:00:00 UTC+0","0.99988426","808824625.863768","34567106707.31763500"
"2024-08-25 00:00:00 UTC+0","1.00000461","400615859.044624","34806079199.38068400"
"2024-08-24 00:00:00 UTC+0","0.99984469","554022870.041309","34839841346.94771000"
"2024-08-23 00:00:00 UTC+0","1.00089839","1390513223.281571","34546541123.90496000"
"2024-08-22 00:00:00 UTC+0","0.99990072","865025505.699623","34709430574.86270000"
