"Date","Price","Volume"
"2024-09-24 20:26:00 UTC+0","64289.83922886","14100151735.400433"
"2024-09-24 20:25:00 UTC+0","64263.29245202","14110499131.005337"
"2024-09-24 20:24:00 UTC+0","64403.65338440","13591380327.149395"
"2024-09-24 20:23:00 UTC+0","64321.82048809","14113221287.434063"
"2024-09-24 20:22:00 UTC+0","64345.86274698","14112502758.303349"
"2024-09-24 20:21:00 UTC+0","64342.26871326","14110499131.005337"
"2024-09-24 20:20:00 UTC+0","64347.47811704","14111569703.255547"
"2024-09-24 20:19:00 UTC+0","64343.37579910","14109296242.525497"
"2024-09-24 20:18:00 UTC+0","64347.02690354","13986577436.992428"
"2024-09-24 20:17:00 UTC+0","64355.01372148","13984983466.113796"
"2024-09-24 20:16:00 UTC+0","64388.58007889","13919043002.973837"
"2024-09-24 20:15:00 UTC+0","64395.53437958","13074656670.195295"
"2024-09-24 20:14:00 UTC+0","64419.18767654","13193168391.606419"
"2024-09-24 20:13:00 UTC+0","64435.49985105","13130328182.677458"
"2024-09-24 20:12:00 UTC+0","64454.82855176","13941673221.839605"
"2024-09-24 20:11:00 UTC+0","64457.38403691","13936432948.081917"
"2024-09-24 20:10:00 UTC+0","64512.32137237","13917279415.385480"
"2024-09-24 20:09:00 UTC+0","64581.02176708","13026918982.338577"
"2024-09-24 20:08:00 UTC+0","64532.92979289","13758241342.078691"
"2024-09-24 20:07:00 UTC+0","64245.30683815","9178332259.460075"
"2024-09-24 20:06:00 UTC+0","64416.39388155","9157581450.736336"
"2024-09-24 20:05:00 UTC+0","64380.53450745","9147516532.923658"
"2024-09-24 20:04:00 UTC+0","64345.48437618","9155650985.500359"
"2024-09-24 20:03:00 UTC+0","64276.15703989","9145830356.590569"
"2024-09-24 20:02:00 UTC+0","64385.11886367","9042775200.764797"
"2024-09-24 20:01:00 UTC+0","64315.96993791","13585685695.987652"
"2024-09-24 20:00:00 UTC+0","64147.11087450","13578010115.219868"
"2024-09-24 19:59:00 UTC+0","64147.46588853","13569434662.422274"
"2024-09-24 19:58:00 UTC+0","64116.20305894","13570421644.963327"
"2024-09-24 19:57:00 UTC+0","64107.33861934","13552554661.741570"
"2024-09-24 19:56:00 UTC+0","64144.85598247","13529907511.187914"
"2024-09-24 19:55:00 UTC+0","64087.87823973","13513040262.717590"
"2024-09-24 19:54:00 UTC+0","64055.23552287","13500494223.151716"
"2024-09-24 19:53:00 UTC+0","64029.17267424","13501846621.464935"
"2024-09-24 19:52:00 UTC+0","63982.10007638","13484354295.706570"
"2024-09-24 19:51:00 UTC+0","64012.15887314","13466164579.442202"
"2024-09-24 19:50:00 UTC+0","63956.07677824","13463746700.053295"
"2024-09-24 19:49:00 UTC+0","63948.39398366","13456003161.627052"
